l	alpha	x0	n
3.0	9.396759935360919	-1.7686527230006062	1.0
5.0	6.755832879877494	-1.4558350737334347	1.0
7.0	6.145904966029988	-1.1684041658601658	1.0
11.0	7.463768268003373	-0.8069954392010351	1.0
