Any[3, 5, 9, 15]	Any[-1.886578449905482, -1.6219281663516067, -1.1455576559546314, -0.782608695652174]	Any[-1.8638941398865785, -1.6294896030245747, -1.1531190926275992, -0.7674858223062382]
Any[3, 5, 9, 15]	Any[-1.8714555765595464, -1.606805293005671, -1.160680529300567, -0.7901701323251418]	Any[-1.8638941398865785, -1.614366729678639, -1.1228733459357279, -0.782608695652174]
