Any[3, 7, 13, 31]	Any[-1.994328922495274, -1.6918714555765595, -1.3742911153119093, -0.665406427221172]	Any[-1.9357277882797732, -1.6408317580340264, -1.173913043478261, -0.6238185255198487]
Any[3, 7, 13, 31]	Any[-1.9792060491493384, -1.725897920604915, -1.4328922495274101, -0.667296786389414]	Any[-1.943289224952741, -1.6181474480151228, -1.158790170132325, -0.5954631379962193]
