Energy	p(K=0)	p(K=1)	p(K>=2)
-1.8715814506539834	0.21739130434782608	0.13768115942028986	0.644927536231884
-1.4625445897740785	0.0	0.0	1.0
-1.595719381688466	0.0	0.0	1.0
-0.6825208085612366	0.0	0.0	1.0
-1.0677764565992867	0.0	0.0	1.0
-1.1629013079667063	0.0	0.0	1.0
-1.3151010701545778	0.0	0.0	1.0
-0.5969084423305588	0.0	0.0	1.0
-0.08323424494649227	0.0	0.0	1.0
-1.5196195005945303	0.0	0.0	1.0
-1.5481569560047563	0.0	0.0	1.0
-1.0820451843043994	0.0	0.0	1.0
-1.1771700356718193	0.0	0.0	1.0
-0.8775267538644471	0.0	0.0	1.0
-0.8109393579072532	0.0	0.0	1.0
-1.8620689655172413	0.1956521739130435	0.13768115942028986	0.6666666666666666
-0.7443519619500595	0.0	0.0	1.0
-1.281807372175981	0.0	0.0	1.0
-0.13555291319857313	0.0	0.0	1.0
-1.2627824019024971	0.0	0.0	1.0
-0.40190249702734837	0.0	0.0	1.0
-0.1450653983353151	0.0	0.0	1.0
-1.5909631391200951	0.0	0.0	1.0
-1.5101070154577882	0.0	0.0	1.0
-1.9762187871581451	0.4939271255060729	0.03643724696356275	0.46963562753036436
-1.9571938168846612	0.5263157894736842	0.03759398496240601	0.43609022556390975
-1.1296076099881094	0.0	0.0	1.0
-1.8810939357907253	0.2361111111111111	0.1736111111111111	0.5902777777777778
-0.8680142687277052	0.0	0.0	1.0
-0.49702734839476814	0.0	0.0	1.0
-1.581450653983353	0.0	0.0	1.0
-0.8442330558858502	0.0	0.0	1.0
-1.8430439952437574	0.10483870967741936	0.12096774193548387	0.7741935483870968
-1.291319857312723	0.0	0.0	1.0
-1.4007134363852556	0.0	0.0	1.0
-0.47324613555291317	0.0	0.0	1.0
-0.3448275862068966	0.0	0.0	1.0
-2.0	1.0	0.0	0.0
-1.0107015457788346	0.0	0.0	1.0
-1.7288941736028538	0.0	0.0	1.0
-0.7158145065398336	0.0	0.0	1.0
-1.1343638525564803	0.0	0.0	1.0
-1.990487514863258	1.0	0.0	0.0
-0.44946492271105826	0.0	0.0	1.0
-0.7728894173602854	0.0	0.0	1.0
-0.3210463733650416	0.0	0.0	1.0
-0.1070154577883472	0.0	0.0	1.0
-0.27824019024970276	0.0	0.0	1.0
-1.2104637336504163	0.0	0.0	1.0
-1.6004756242568372	0.0	0.0	1.0
-0.7015457788347206	0.0	0.0	1.0
-0.7538644470868014	0.0	0.0	1.0
-0.1403091557669441	0.0	0.0	1.0
-0.31153388822829964	0.0	0.0	1.0
-1.629013079667063	0.0	0.0	1.0
-0.8156956004756243	0.0	0.0	1.0
-0.8870392390011891	0.0	0.0	1.0
-1.4958382877526755	0.0	0.0	1.0
-1.0011890606420928	0.0	0.0	1.0
-1.1153388822829964	0.0	0.0	1.0
-1.334126040428062	0.0	0.0	1.0
-1.2960760998810938	0.0	0.0	1.0
-1.6527942925089179	0.0	0.0	1.0
-0.17360285374554102	0.0	0.0	1.0
-1.3721759809750298	0.0	0.0	1.0
-1.3293697978596908	0.0	0.0	1.0
-0.8727705112960761	0.0	0.0	1.0
-1.1248513674197385	0.0	0.0	1.0
-0.8204518430439952	0.0	0.0	1.0
-1.258026159334126	0.0	0.0	1.0
-0.28299643281807374	0.0	0.0	1.0
-1.657550535077289	0.0	0.0	1.0
-1.7717003567181926	0.013333333333333334	0.08	0.9066666666666666
-1.1010701545778834	0.0	0.0	1.0
-1.224732461355529	0.0	0.0	1.0
-0.915576694411415	0.0	0.0	1.0
-0.7871581450653984	0.0	0.0	1.0
-0.7919143876337693	0.0	0.0	1.0
-1.5529131985731273	0.0	0.0	1.0
-1.1438763376932224	0.0	0.0	1.0
-1.0059453032104637	0.0	0.0	1.0
-1.643281807372176	0.0	0.0	1.0
-0.24494649227110582	0.0	0.0	1.0
-0.9346016646848989	0.0	0.0	1.0
-1.0582639714625446	0.0	0.0	1.0
-0.6064209274673008	0.0	0.0	1.0
-1.2009512485136742	0.0	0.0	1.0
-1.5719381688466112	0.0	0.0	1.0
-1.7764565992865635	0.03296703296703297	0.04395604395604396	0.9230769230769231
-1.4577883472057076	0.0	0.0	1.0
-0.5112960760998811	0.0	0.0	1.0
-1.7003567181926278	0.0	0.02	0.98
-1.5053507728894173	0.0	0.0	1.0
-0.09274673008323424	0.0	0.0	1.0
