l,E_K0,E_K2p
3.0,-1.926405325443787,-1.9974112426035502
9.0,-1.6893491124260356,-1.9585798816568047
11.0,-1.532544378698225,-1.9585798816568047
19.0,-1.0636094674556213,-1.9585798816568047
23.0,-0.9803994082840237,-1.9589497041420119
69.0,-0.39977810650887574,-0.6778846153846154
