l,E_K0,E_K2p
3.0,-1.953236263152301,-1.9970241258369645
5.0,-1.8512062918482304,-1.993198001913062
13.0,-1.4600914018492932,-1.703262833457328
15.0,-1.2849399511106387,-1.6322669784249124
39.0,-0.6306727601232862,-1.010734403230949
65.0,-0.40960782229779996,-0.6748857476883835
