Any[3, 7, 17]	Any[-1.8784, -1.4624, -0.7328]	Any[-1.872, -1.4048, -0.7264]
Any[3, 7, 17]	Any[-1.8784, -1.5008, -0.7328]	Any[-1.872, -1.392, -0.7264]
