l,E_K0,E_K2p
3.0,-1.9534626038781164,-1.9977839335180057
7.0,-1.7673130193905817,-1.9570083102493074
9.0,-1.6458725761772852,-1.880775623268698
21.0,-0.9801662049861496,-1.3174515235457063
27.0,-0.8312465373961219,-1.142382271468144
63.0,-0.40265927977839333,-0.6845429362880886
