Any[3, 5, 19, 31]	Any[-1.961973743775464, -1.8533272974196469, -0.9732910819375283, -0.6835672249886826]	Any[-1.9529198732458126, -1.797193300135808, -0.8899954730647351, -0.6075147125396106]
Any[3, 5, 19, 31]	Any[-1.9945676776822092, -1.8551380715255772, -0.9823449524671797, -0.6781349026708918]	Any[-1.9456767768220915, -1.8116794929832503, -0.9008601177003169, -0.6292440018107741]
