Energy	p(K=0)	p(K=1)	p(K>=2)
-1.2466181061394381	0.9655172413793104	0.034482758620689655	0.0
-1.9375650364203953	1.0	0.0	0.0
-0.8303850156087409	0.6447368421052632	0.18421052631578946	0.17105263157894737
-0.826222684703434	0.6666666666666666	0.11594202898550725	0.21739130434782608
-0.6181061394380853	0.16666666666666666	0.13725490196078433	0.696078431372549
-0.8345473465140478	0.5882352941176471	0.16176470588235295	0.25
-1.8043704474505724	1.0	0.0	0.0
-0.8969823100936525	0.723404255319149	0.19148936170212766	0.0851063829787234
-0.5556711758584808	0.08396946564885496	0.08396946564885496	0.8320610687022901
-1.2424557752341312	1.0	0.0	0.0
-0.7929240374609782	0.5	0.14864864864864866	0.35135135135135137
-1.4755463059313216	1.0	0.0	0.0
-1.7918834547346514	1.0	0.0	0.0
-0.3017689906347555	0.0	0.0	1.0
-1.7835587929240375	1.0	0.0	0.0
-0.18106139438085328	0.0	0.0	1.0
-0.518210197710718	0.031496062992125984	0.047244094488188976	0.9212598425196851
-1.9667013527575443	1.0	0.0	0.0
-1.392299687825182	1.0	0.0	0.0
-1.858480749219563	1.0	0.0	0.0
-1.6586888657648282	1.0	0.0	0.0
-1.2091571279916753	1.0	0.0	0.0
-1.27159209157128	1.0	0.0	0.0
-1.716961498439126	1.0	0.0	0.0
-0.809573361082206	0.5833333333333334	0.09523809523809523	0.32142857142857145
-1.7752341311134234	1.0	0.0	0.0
-0.9386056191467221	0.8888888888888888	0.047619047619047616	0.06349206349206349
-0.4099895941727367	0.004651162790697674	0.004651162790697674	0.9906976744186047
-0.9802289281997919	0.9508196721311475	0.0	0.04918032786885246
-0.3100936524453694	0.0	0.0	1.0
-0.7596253902185224	0.5428571428571428	0.18571428571428572	0.2714285714285714
-1.8251821019771073	1.0	0.0	0.0
-0.81789802289282	0.5569620253164557	0.1518987341772152	0.2911392405063291
-1.5879292403746097	1.0	0.0	0.0
-1.6253902185223725	1.0	0.0	0.0
-1.9625390218522372	1.0	0.0	0.0
-1.8335067637877211	1.0	0.0	0.0
-0.49739854318418314	0.025477707006369428	0.06369426751592357	0.910828025477707
-1.6919875130072841	1.0	0.0	0.0
-0.4599375650364204	0.006211180124223602	0.006211180124223602	0.9875776397515528
-1.2174817898022894	0.9666666666666667	0.0	0.03333333333333333
-1.704474505723205	1.0	0.0	0.0
-1.571279916753382	1.0	0.0	0.0
-0.022892819979188347	0.0	0.0	1.0
-0.5057232049947971	0.03787878787878788	0.06060606060606061	0.9015151515151515
-0.2601456815816857	0.0	0.0	1.0
-2.0	1.0	0.0	0.0
-1.9750260145681582	1.0	0.0	0.0
-1.1925078043704473	0.9772727272727273	0.022727272727272728	0.0
-1.6462018730489074	1.0	0.0	0.0
-1.6129032258064515	1.0	0.0	0.0
-0.8636836628511967	0.684931506849315	0.1095890410958904	0.2054794520547945
-0.7180020811654526	0.42696629213483145	0.19101123595505617	0.38202247191011235
-0.6722164412070759	0.3114754098360656	0.11475409836065574	0.5737704918032787
-1.5296566077003122	1.0	0.0	0.0
-1.7336108220603539	1.0	0.0	0.0
-1.4339229968782519	1.0	0.0	0.0
-0.3600416233090531	0.0	0.0	1.0
-1.413111342351717	0.96	0.0	0.04
-1.2757544224765869	1.0	0.0	0.0
-0.22684703433922998	0.0	0.0	1.0
-1.0884495317377731	0.975609756097561	0.0	0.024390243902439025
-1.0135275754422477	0.8846153846153846	0.038461538461538464	0.07692307692307693
-0.45161290322580644	0.0	0.011904761904761904	0.9880952380952381
-1.6004162330905307	1.0	0.0	0.0
-1.117585848074922	0.9423076923076923	0.038461538461538464	0.019230769230769232
-1.2008324661810614	0.96	0.0	0.04
-0.514047866805411	0.06962025316455696	0.03164556962025317	0.8987341772151899
-0.49323621227887615	0.024096385542168676	0.018072289156626505	0.9578313253012049
-1.3257023933402705	1.0	0.0	0.0
-1.1716961498439127	0.9722222222222222	0.027777777777777776	0.0
-0.43912591050988553	0.017241379310344827	0.0	0.9827586206896551
-1.7252861602497398	1.0	0.0	0.0
-0.5390218522372529	0.09848484848484848	0.030303030303030304	0.8712121212121212
-1.550468262226847	1.0	0.0	0.0
-1.0634755463059313	0.8571428571428571	0.11428571428571428	0.02857142857142857
-1.3631633714880333	1.0	0.0	0.0
-0.2559833506763788	0.0	0.0	1.0
-0.3517169614984391	0.0	0.0	1.0
-1.9583766909469302	1.0	0.0	0.0
-0.7055150884495317	0.358695652173913	0.16304347826086957	0.4782608695652174
-0.5889698231009365	0.11023622047244094	0.08661417322834646	0.8031496062992126
-0.027055150884495317	0.0	0.0	1.0
-0.5306971904266389	0.03816793893129771	0.05343511450381679	0.9083969465648855
-0.5806451612903226	0.0625	0.05357142857142857	0.8839285714285714
-1.5046826222684704	1.0	0.0	0.0
-1.3590010405827264	0.9583333333333334	0.0	0.041666666666666664
-1.837669094693028	1.0	0.0	0.0
-0.6971904266389178	0.35443037974683544	0.0759493670886076	0.569620253164557
-1.1966701352757545	0.9722222222222222	0.0	0.027777777777777776
-0.4474505723204995	0.0	0.005405405405405406	0.9945945945945946
-0.6014568158168574	0.09230769230769231	0.13846153846153847	0.7692307692307693
-1.8668054110301768	1.0	0.0	0.0
-0.46409989594172735	0.006024096385542169	0.012048192771084338	0.9819277108433735
-1.3756503642039541	1.0	0.0	0.0
-0.9053069719042663	0.9047619047619048	0.07936507936507936	0.015873015873015872
-1.3839750260145682	0.96875	0.0	0.03125
-1.8709677419354838	1.0	0.0	0.0
-1.0260145681581685	0.8923076923076924	0.09230769230769231	0.015384615384615385
-0.222684703433923	0.0	0.0	1.0
-1.6420395421436005	1.0	0.0	0.0
-1.9334027055150884	1.0	0.0	0.0
-0.9094693028095734	0.7058823529411765	0.19607843137254902	0.09803921568627451
-1.109261186264308	0.8974358974358975	0.07692307692307693	0.02564102564102564
-1.3714880332986472	1.0	0.0	0.0
-0.08532778355879292	0.0	0.0	1.0
-1.9292403746097815	1.0	0.0	0.0
-1.8959417273673258	1.0	0.0	0.0
-0.3392299687825182	0.0	0.0	1.0
-0.17273673257023933	0.0	0.0	1.0
-1.854318418314256	1.0	0.0	0.0
-0.4432882414151925	0.0	0.022988505747126436	0.9770114942528736
-1.130072840790843	1.0	0.0	0.0
-0.963579604578564	0.7592592592592593	0.09259259259259259	0.14814814814814814
-0.7762747138397502	0.5263157894736842	0.14473684210526316	0.32894736842105265
-0.8886576482830385	0.6129032258064516	0.14516129032258066	0.24193548387096775
-1.0759625390218521	0.9	0.02	0.08
-1.096774193548387	0.9473684210526315	0.02631578947368421	0.02631578947368421
-0.2976066597294485	0.0	0.0	1.0
-1.8085327783558793	1.0	0.0	0.0
-1.7211238293444329	1.0	0.0	0.0
-1.8792924037460979	1.0	0.0	0.0
-1.4505723204994798	1.0	0.0	0.0
-1.875130072840791	1.0	0.0	0.0
-0.13527575442247658	0.0	0.0	1.0
-0.5723204994797086	0.11206896551724138	0.10344827586206896	0.7844827586206896
-1.0509885535900103	0.8205128205128205	0.05128205128205128	0.1282051282051282
-0.9968782518210197	0.803030303030303	0.09090909090909091	0.10606060606060606
-0.8844953173777316	0.7702702702702703	0.06756756756756757	0.16216216216216217
-1.0426638917793964	0.8571428571428571	0.07142857142857142	0.07142857142857142
-1.8210197710718001	1.0	0.0	0.0
-1.4464099895941727	1.0	0.0	0.0
-0.8761706555671176	0.6585365853658537	0.17073170731707318	0.17073170731707318
-0.20187304890738814	0.0	0.0	1.0
