C,v,l
1.0477470580669483,1.160938158126842,1.0
0.6838877362722325,1.1592676614203725,3.0
1.6450189625507428,1.2421911561118588,7.0
1.6697627183372965,1.6980479906518495,9.0
152.96799687468663,2.226869657569601,21.0
9649.84537863562,1.5741303880504494,27.0
