beta,tau_unc,alpha_unc
0.25,2.3939811610682167,0.6010117267675728
0.25757124579110297,2.937806055709408,0.5891740381806035
0.2653717866335231,3.899000874102734,0.5861005468336823
0.2734085667240293,5.216790442609378,0.5919549127879256
0.28168874056427257,7.649051082751162,0.585213569218634
0.2902196793298659,12.114497356615011,0.5921094388552608
0.29900897743235194,17.97385061047396,0.5658105087379838
0.3080644592798988,32.04745743134753,0.5977775735935904
0.3173941862427442,48.4256356330158,0.5761220667338895
0.3270064638295879,83.54694235261015,0.5284640105567158
0.3369098490813209,150.8473058112378,0.5489820958610029
0.3471131581886732,314.41612433707746,0.5462311785215628
0.357625474340563,696.9034280508624,0.5352835470279017
0.36845615581013186,1687.6927717547735,0.508865428855024
0.3796148442856656,4379.126558177744,0.5514021743292361
0.39111147345381786,11632.256539631746,0.5795073127603767
0.40295627784277505,58902.08942845055,0.5352824024298669
0.4151598019332376,361821.97912566445,0.4943256859543387
0.42773290954532633,627605.7510797452,0.6729153587447547
0.44068679350977147,1.0e8,0.4235415497434905
