beta,tau_unc,alpha_unc
0.2,1.0,0.766134502724326
0.3,1.3010741241738033,0.6450794257544671
0.35,2.0898300630629403,0.5313351538966653
0.4,5.086782772742911,0.41148502813978594
0.4220860200343477,10.59501511469947,0.30228495752491485
0.4230353284863373,15.468113608066204,0.3390409692800263
0.42398677201623586,19.419747034178833,0.3656009504631649
0.42494035542602054,16.98025590027751,0.34642298431069796
0.42589608352846886,18.879080958450828,0.32156326386327055
0.4268539611471826,20.97931529962701,0.3318283298341245
0.4278139931166122,36.978200368156145,0.32695375602650345
0.4287761842820812,21.89807263174466,0.27767026281599744
0.42974053949981084,28.09905568458619,0.31501958628160853
0.43070706363694417,34.0498095130211,0.30730741604420236
0.43167576157157117,36.478068315465165,0.2858548234113103
0.43264663819275284,39.14050742046537,0.26807469324377975
0.43361969840054615,35.66488740881089,0.2510348788368496
0.4345949471060288,30.253507911000106,0.2054401853013912
0.4355723892313239,28.144394659711324,0.1609239385885571
0.4365520297096249,75.5883072643853,0.14371934563770197
0.4375338734852204,99.34307889392808,0.11505380575148601
0.438517925513519,138.86145455544283,0.11615471790796005
0.4395041907610746,284.6096584616114,0.1
0.4404926742056113,937.9421782693033,0.1
