beta,tau_unc,alpha_unc
0.1,1.0,1.0
0.10627824058887834,1.0,1.0
0.11295064422667504,1.0,1.0
0.12004195741791371,1.0,1.0
0.12757848031220922,1.0,1.0
0.13558816424584447,1.0,1.0
0.14410071540724212,1.0,1.0
0.15314770501080363,1.0,1.0
0.16276268638772753,1.0,1.0
0.17298131942807057,1.0,0.9839485747503607
0.18384150283558098,1.0,0.5535678834873797
0.19538351468580836,1.0,0.5540717555245873
0.2076501618087898,1.0,0.6365826641183304
0.22068693855034074,1.0,0.5661949947133789
0.23454219550076125,1.0,0.5826609211433978
0.2492673188167364,1.0,0.5740642228987018
0.2649169208014975,1.0,0.5500614460076102
0.2815490424500638,1.1862993371890733,0.5447613726958499
0.2992253687107619,1.4044958628280615,0.52058523693943
0.3180114572613818,1.7038213610068231,0.4901452818167346
0.33797698164844936,2.298901925953329,0.4488810501136992
0.3591959896913681,3.1897079084245905,0.43126227758416763
0.38174717810979486,5.43822730451416,0.35882453803866027
0.4057141843927816,11.853804351670279,0.302837240777337
0.4311858969921659,27.166231087710457,0.12669425026528772
