beta,tau_E,alpha_E,tau_M,alpha_M
0.25,1.0,0.8015532656914808,1.406882411983542,0.9404596871005164
0.25757124579110297,1.0,0.8548177623075123,1.5704498804306264,0.9556335482158317
0.2653717866335231,1.0,0.8292241669966393,1.766848139506854,0.9328558501442131
0.2734085667240293,1.0422704439074224,0.8290291610394376,1.9856234405079012,0.955087077184209
0.28168874056427257,1.1548492487368593,0.8213336962561735,2.291307792431237,0.9474219916158825
0.2902196793298659,1.2799079471509258,0.8352205195790269,2.656858967453163,0.9409726441212208
0.29900897743235194,1.427278231353486,0.8217987977529116,3.0934806705541673,0.9155664212886693
0.3080644592798988,1.6197585547721505,0.8170554504501879,3.643600958443455,0.9417987065151342
0.3173941862427442,1.8325645097706598,0.8017022178337048,4.434340397915759,0.9125275633791033
0.3270064638295879,2.1218902347157553,0.8082137583002784,5.580974145828182,0.9323310540556905
0.3369098490813209,2.423080642612766,0.811393226375117,7.018032677552769,0.9085512804890706
0.3471131581886732,2.8247302988956013,0.7992543964684505,8.760786960871886,0.9195382398502813
0.357625474340563,3.5082276578548597,0.786593056481255,11.855004884142256,0.9716375738284839
0.36845615581013186,4.283789557692519,0.7624447695878672,15.969329323737036,1.0
0.3796148442856656,5.5994766459297916,0.7272025766082925,22.721889501803336,1.0
0.39111147345381786,7.293779409503217,0.7446559209746291,37.640539724084,0.9901621762499775
0.40295627784277505,10.18342807216286,0.7154743739490921,75.50130794889785,1.0
0.4151598019332376,18.379797218218545,0.6873181868473588,128.9391072445918,1.0
0.42773290954532633,40.9451025615831,0.617925902791488,401.96986091857934,1.0
0.44068679350977147,104.73503266228754,0.5930408749026564,394.76914828699273,0.9698791047685439
