beta,tau_unc,alpha_unc
0.25,1.0,1.0
0.25757124579110297,1.0,1.0
0.2653717866335231,1.0,1.0
0.2734085667240293,1.0,0.963337337672213
0.28168874056427257,1.0,0.9243088432520197
0.2902196793298659,1.0,0.5807835105681137
0.29900897743235194,1.0,0.5820197027667561
0.3080644592798988,1.0,0.5670874322708883
0.3173941862427442,1.0,0.5385170526113593
0.3270064638295879,1.0,0.5942552790505399
0.3369098490813209,1.0,0.5360868674206777
0.3471131581886732,1.1233255456842757,0.5584569489341448
0.357625474340563,1.3108683185361667,0.5296763527355216
0.36845615581013186,1.5914663943865355,0.5136873130777351
0.3796148442856656,1.9782647299139882,0.4698916577869364
0.39111147345381786,2.767467303392616,0.4796029209782991
0.40295627784277505,3.826046158713851,0.40946549797301324
0.4151598019332376,6.344201052067825,0.37319393639326887
0.42773290954532633,14.725215783355594,0.3427114313649078
0.44068679350977147,71.38434233367325,0.16394929142766115
