beta,tau_E,alpha_E,tau_M,alpha_M
0.25,1.0,0.8484177104905533,1.1193932973797518,0.8943901051488263
0.25757124579110297,1.0739933542902296,0.8401830333398169,1.2867594974549459,0.8724758672263027
0.2653717866335231,1.1799348178373432,0.8217369753816322,1.4628569150141086,0.886094812212717
0.2734085667240293,1.2957651986368046,0.8465564552776234,1.6766471336489568,0.8914515747238204
0.28168874056427257,1.4617547278828447,0.8420349701378224,1.99187475852145,0.9063986213491058
0.2902196793298659,1.6630441661923265,0.836818846112598,2.3236763151460407,0.9016266940877894
0.29900897743235194,1.9208036264194455,0.8074977918855895,2.824336351360956,0.8759198731617138
0.3080644592798988,2.214707958188862,0.8028980803425184,3.379929973112453,0.8858429507386139
0.3173941862427442,2.6083939731262107,0.7858116402356932,4.161819268482142,0.9148398002558694
0.3270064638295879,2.9203696888714448,0.7920645330259134,5.288816060839476,0.8767810287226151
0.3369098490813209,3.674034807353523,0.8112736473567828,7.220210483627544,0.8642547491257425
0.3471131581886732,4.386532885106195,0.8057168634675613,9.525616270289925,0.9134690907430606
0.357625474340563,5.655134498135497,0.808775425827096,12.902823481672417,0.8716674244717291
0.36845615581013186,7.3328640893973756,0.8035989422521089,19.759473379517363,0.9410995348495402
0.3796148442856656,9.946437126800868,0.7841817356602462,30.851800218268263,0.9004950836124032
0.39111147345381786,14.096992194431321,0.6912793984306683,45.25146381399516,1.0
0.40295627784277505,20.58150588640105,0.7772918066824792,95.96283854563946,1.0
0.4151598019332376,38.97444052790874,0.7377638635866058,174.70572684846806,1.0
0.42773290954532633,67.31821583512219,0.6972561431819246,457.808293382995,1.0
0.44068679350977147,242.6220183083403,0.6928968050708891,683.1449252338601,1.0
