tau,alpha,epsilon
0.8572520312273945,0.8667002863199029,0.0
0.8738578538613798,0.8772420217586714,0.0
0.8858961818213203,0.9015382599725333,0.0
0.9109023431157819,0.8282863193127618,0.0
0.8943977514992777,0.8123741572361882,0.0
0.9925974737179988,0.9195322018332425,0.0
1.0296399792631301,0.8479342331939141,0.0
1.0536809100633953,0.8563301896496404,0.0
1.1002028838687241,0.8126723188172625,0.0
1.1118750036026466,0.8113718323151037,0.0
1.1466451501603563,0.8245333365475719,0.0
1.171063080387552,0.8225780114492995,0.0
1.2357258132694482,0.8677315757632507,0.0
1.2914332925104517,0.8028450975427621,0.0
1.3319995199802126,0.872816690551205,0.0
1.4121404401208333,0.7766073225559252,0.0
1.4801616935573754,0.7841908048743491,0.0
1.5514829195987643,0.8119592115578486,0.0
1.5820620257044937,0.8083309899972352,0.0
1.6941289524380279,0.7989150617848481,0.0
1.7740321043703062,0.796500757742589,0.0
1.7951358410040734,0.794512963690998,0.0
2.0185441833764224,0.7530902982101553,0.0
2.0206897537708457,0.755078322222086,0.0
2.207655128533126,0.7104977510214121,0.0
2.3372062955790662,0.679712581954718,0.0
2.582431540228678,0.7099540710315672,0.0
2.8836091830911443,0.7077348757936115,0.0
2.8481238037011942,0.6882950707964957,0.0
3.1529020589751533,0.7029957724901166,0.0
3.5242320850455076,0.6059954935133895,0.0
3.961531844841965,0.6242341271200443,0.0
4.240537801311885,0.6397281868793853,0.0
4.734697863996223,0.6902454702575025,0.0
6.112282355208958,0.551932649988767,0.0
6.639578181802859,0.5702475690541814,0.0
8.741021088887965,0.5361111158517797,0.0
11.08079599998793,0.47047325679661234,0.0
13.732843026012052,0.5114463536926247,0.0
23.049326801434187,0.49229368109685057,0.0
50.9267666653032,0.43014005425355584,0.0
25.45143921718139,0.42472948937641575,0.0
15.16088955274908,0.43317912596456715,0.0
15.719394711463364,0.4605538204512887,0.0
7.237708104570887,0.5215693767868471,0.0
6.365440662618771,0.6517968744165025,0.0
4.54026041882275,0.57006679611954,0.0
4.502122144425448,0.5960383686960452,0.0
3.593072819760345,0.6412796066250619,0.0
3.3359516638623443,0.7386760426765798,0.0
3.2323116056957804,0.7147545051876032,0.0
2.736728252253674,0.7700712838074496,0.0
2.760685470346081,0.7911582065544572,0.0
2.4764712329376453,0.7973126654429942,0.0
2.386794926510139,0.7951146763179042,0.0
2.3294915857206697,0.8065618093108391,0.0
2.1914836281330254,0.8549410366583408,0.0
2.073659307602216,0.8508679331632595,0.0
1.9633884256319976,0.8696959522838488,0.0
1.8954903483009928,0.9016906905837251,0.0
1.7993737278046427,0.915284054833012,0.0
1.7729392743935481,0.9184071308600961,0.0
1.7052314030051412,0.95356452189388,0.0
1.692280132196875,0.9316188618305099,0.0
1.5827372762691863,0.9341556692198613,0.0
1.5979357804825927,0.938742375212259,0.0
1.5275842926668601,0.9398150021675932,0.0
1.4796803825714557,0.9290481160260475,0.0
1.4398596443488108,0.9822563631185282,0.0
1.4845259027035913,0.9493294983434512,0.0
1.4375388452646034,0.9566018735837745,0.0
1.3837810268793467,0.962443670834059,0.0
1.3513430468641243,1.05226787807272,0.0
1.329873374722323,0.9835128556232757,0.0
1.342469479827604,0.9870254226851365,0.0
1.3511420120278852,0.9207392542946454,0.0
1.294116017696058,0.9946660684722916,0.0
1.3062332880386904,1.0091914652687581,0.0
1.2523655803374205,0.9537354870590625,0.0
1.2361642598233407,0.9929722453588616,0.0
1.2271915679020593,0.9722373251841985,0.0
1.1812246963503945,1.0001361704856808,0.0
1.1935154129386893,1.0129957675695531,0.0
1.1684127853080302,0.981223092293642,0.0
1.187648529533517,0.9613515824698756,0.0
1.1570220370248905,0.9896810587748166,0.0
1.1771799835401653,0.9799666168015996,0.0
1.156816965099506,0.9965249553261041,0.0
1.1849679756138447,1.051483336787453,0.0
1.1497367409454597,0.9930618999204772,0.0
1.123942337877324,0.9773835216633732,0.0
1.1582121986649745,0.9502266464951192,0.0
1.1237061646696913,0.993590306745739,0.0
1.1106340156348278,1.03358724899239,0.0
1.1007383388441963,1.0027486501345209,0.0
1.0828654484780602,0.9880172553616958,0.0
1.0770730578258936,1.0584826804382907,0.0
1.0671591086292256,0.9687927166849936,0.0
1.0694977417086973,0.926374348782861,0.0
1.0662225668559258,1.0211668704452332,0.0
