l	alpha	x0	n
1.0	1000.0	-1.9993639022909564	2.0
3.0	43.861815112468875	-1.9831336273207603	2.0
9.0	14.339045762318847	-1.7683310067405174	2.0
11.0	13.128816696402858	-1.6421326416947655	2.0
19.0	12.142024972843616	-1.2282837182073483	2.0
23.0	12.98085317429895	-1.0878785892591054	2.0
69.0	23.045236804352456	-0.506999012978982	2.0
