l,E_K0,E_K2p
5.0,-1.8723567858515955,-1.9930795847750864
7.0,-1.7535563244905805,-1.960399846212995
29.0,-0.8035371011149558,-1.1211072664359862
41.0,-0.5966935793925413,-0.9957708573625529
