l,E_K0,E_K2p
3.0,-1.9283627109058348,-1.9981148081817326
5.0,-1.8469224243566782,-1.9954755396361579
9.0,-1.7013856159864267,-1.9581487416344614
23.0,-0.929211047224055,-1.9570176265435009
41.0,-0.6223018192101046,-0.9099820906777265
69.0,-0.40927514374587615,-0.6675464228485248
