l,E_K0,E_K2p
3.0,-1.957517700957934,-1.9970845481049562
5.0,-1.8625572678050812,-1.9933361099541858
13.0,-1.4210745522698875,-1.7217825905872552
15.0,-1.2802998750520616,-1.704289879216993
39.0,-0.6289046230737193,-0.9512703040399834
65.0,-0.3981674302374011,-0.6880466472303207
