l,E_K0,E_K2p
3.0,-1.93059503970199,-1.998039407901186
7.0,-1.7533575139692188,-1.9584354475051466
29.0,-0.7569846093520243,-1.1279286344476032
67.0,-0.41741005783746693,-0.693069306930693
