beta,tau_E,alpha_E,tau_M,alpha_M
0.25,1.454223655027378,0.7883659262993598,1.1691241807330557,0.8197698544035721
0.25757124579110297,1.625248518528178,0.8010556435663824,1.3493183705447267,0.8132251369164903
0.2653717866335231,1.8449770687303089,0.8020959093313716,1.6666458797722388,0.8331070471115097
0.2734085667240293,2.1469340304108018,0.800693282531258,1.9360206254009344,0.8273785875360998
0.28168874056427257,2.5190005537077518,0.8181285867672231,2.3753882216551965,0.8076070497570242
0.2902196793298659,2.9364963956786907,0.7819697242951598,2.9242609960118906,0.8208174221928796
0.29900897743235194,3.5367335947444984,0.8015665453983098,3.8123584037648497,0.8353645605877754
0.3080644592798988,4.357228785546907,0.7795633438915293,4.743160906598453,0.8247337875891791
0.3173941862427442,5.317251640721008,0.8259333765348417,6.022947224432041,0.8673499817056403
0.3270064638295879,6.59053804461387,0.8089432803066611,8.376998318818146,0.8364043713430632
0.3369098490813209,8.400063827828632,0.7904700657929545,11.9506688043172,0.8552946113106967
0.3471131581886732,11.09999560753976,0.8062606740484428,17.583864787358472,0.9402492770012498
0.357625474340563,15.746226227788133,0.7720064001900322,25.4378457835191,0.9567935109518368
0.36845615581013186,20.17866271516872,0.8057759925175866,44.55816339295387,0.8464577501695788
0.3796148442856656,31.545815424414574,0.8081426451537927,64.09138433655056,1.0
0.39111147345381786,50.64876936245591,0.8334212632610876,132.34390918563068,1.0
0.40295627784277505,78.40081108047127,0.803784690584662,219.12714668560517,1.0
0.4151598019332376,114.1015674464378,0.8591956290954845,386.47989227406646,1.0
0.42773290954532633,239.76455358583192,0.7182633205606181,477.2510818884211,1.0
0.44068679350977147,445.8301156640458,0.7046163261814453,681.5272642372078,1.0
