Starting saddles simulation at 2025-05-29T11:32:10.342
Lattice size: 22
Beta values: [0.1, 0.10279944599549397, 0.10567726096980483, 0.10863563882017176, 0.11167683486080235, 0.11480316754220751, 0.1180170202186681, 0.1213208429651809, 0.12471715444526921, 0.12820854383108135, 0.1317976727772417, 0.13548727744995842, 0.13928017061293513, 0.14317924377167612, 0.14718746937782085, 0.15130790309518719, 0.15554368612925135, 0.15989804762184037, 0.16437430711286308, 0.16897587707095507, 0.17370626549496876, 0.1785690785882898, 0.18356802350802015, 0.1887069111911229, 0.19398965925968314, 0.19942029500750083, 0.20500295847029057, 0.21074190558183128, 0.21664151141846955, 0.22270627353445155, 0.22894081539062563, 0.23534988987912978, 0.2419383829467506, 0.24871131731971624, 0.25567385633276335, 0.26283130786539594, 0.2701891283883382, 0.27775292712326566, 0.2855284703189852, 0.2935216856473252, 0.3017386667220857, 0.3101856777444941, 0.3188691582787082, 0.3277957281610069, 0.3369721925464105, 0.3464055470965792, 0.3561029833129435, 0.36607189401913226, 0.3763198789968798, 0.3868547507797058, 0.39768454060878644, 0.4088175045555577, 0.4202621298157168, 0.4320271411794205, 0.4441215076826148, 0.4565544494445634, 0.46933544469678873, 0.48247423700878694, 0.49598084271601944, 0.5098655585558504, 0.5241389695172453, 0.5388119569102191, 0.553895706661185, 0.5694017178405246, 0.5853418114288852, 0.601728139328883, 0.6185731936290858, 0.6358898161273345, 0.6536912081206652, 0.6719909404692954, 0.6908029639423454, 0.710141619853183, 0.730021650992499, 0.7504582128674476, 0.7714668852554213, 0.7930636840812662, 0.815265073626996, 0.8380879790833082, 0.8615497994524721, 0.885668420812431, 0.9104622299522194, 0.9359501283891019, 0.9621515467781114, 0.9890864597249744, 1.0167754010137187, 1.045239479260565, 1.0745003940060471, 1.1045804522576164, 1.1355025854953513, 1.1672903671537318, 1.1999680305928035, 1.2335604875724422, 1.2680933472437848, 1.3035929356723266, 1.3400863159075478, 1.3776013086143843, 1.4161665132822627, 1.4558113300278694, 1.4965659820082826, 1.5384615384615383]
Copies: 600
Move type: l chain flip
----------------------------------
Finished copy 1 at 2025-05-29T11:32:12.794
Finished copy 501 at 2025-05-29T11:32:12.800
Finished copy 101 at 2025-05-29T11:32:12.899
Finished copy 201 at 2025-05-29T11:32:14.121
Finished copy 301 at 2025-05-29T11:32:14.608
Finished copy 401 at 2025-05-29T11:32:14.953
Finished copy 2 at 2025-05-29T11:32:15.031
Finished copy 502 at 2025-05-29T11:32:15.279
Finished copy 102 at 2025-05-29T11:32:15.497
Finished copy 3 at 2025-05-29T11:32:17.198
Finished copy 503 at 2025-05-29T11:32:17.352
Finished copy 202 at 2025-05-29T11:32:18.282
Finished copy 402 at 2025-05-29T11:32:18.900
Finished copy 302 at 2025-05-29T11:32:19.080
Finished copy 103 at 2025-05-29T11:32:19.509
Finished copy 4 at 2025-05-29T11:32:19.775
Finished copy 504 at 2025-05-29T11:32:19.807
Finished copy 203 at 2025-05-29T11:32:21.689
Finished copy 505 at 2025-05-29T11:32:22.115
Finished copy 5 at 2025-05-29T11:32:22.215
Finished copy 303 at 2025-05-29T11:32:23.194
Finished copy 403 at 2025-05-29T11:32:23.606
Finished copy 104 at 2025-05-29T11:32:24.114
Finished copy 506 at 2025-05-29T11:32:24.370
Finished copy 6 at 2025-05-29T11:32:24.512
Finished copy 204 at 2025-05-29T11:32:25.709
Finished copy 507 at 2025-05-29T11:32:26.606
Finished copy 7 at 2025-05-29T11:32:26.715
Finished copy 304 at 2025-05-29T11:32:27.018
Finished copy 404 at 2025-05-29T11:32:27.884
Finished copy 105 at 2025-05-29T11:32:28.708
Finished copy 508 at 2025-05-29T11:32:28.737
Finished copy 8 at 2025-05-29T11:32:28.791
Finished copy 205 at 2025-05-29T11:32:29.703
Finished copy 305 at 2025-05-29T11:32:30.164
Finished copy 509 at 2025-05-29T11:32:30.927
Finished copy 9 at 2025-05-29T11:32:31.331
Finished copy 405 at 2025-05-29T11:32:31.779
Finished copy 106 at 2025-05-29T11:32:32.182
Finished copy 206 at 2025-05-29T11:32:33.254
Finished copy 510 at 2025-05-29T11:32:33.372
Finished copy 10 at 2025-05-29T11:32:33.497
Finished copy 306 at 2025-05-29T11:32:34.391
Finished copy 511 at 2025-05-29T11:32:35.565
Finished copy 11 at 2025-05-29T11:32:35.696
Finished copy 406 at 2025-05-29T11:32:35.785
Finished copy 207 at 2025-05-29T11:32:36.651
Finished copy 107 at 2025-05-29T11:32:36.990
Finished copy 512 at 2025-05-29T11:32:37.680
Finished copy 12 at 2025-05-29T11:32:38.076
Finished copy 307 at 2025-05-29T11:32:38.760
Finished copy 407 at 2025-05-29T11:32:39.621
Finished copy 513 at 2025-05-29T11:32:39.810
Finished copy 13 at 2025-05-29T11:32:40.220
Finished copy 208 at 2025-05-29T11:32:40.475
Finished copy 108 at 2025-05-29T11:32:40.721
Finished copy 514 at 2025-05-29T11:32:41.925
Finished copy 14 at 2025-05-29T11:32:42.342
Finished copy 308 at 2025-05-29T11:32:42.717
Finished copy 515 at 2025-05-29T11:32:44.076
Finished copy 408 at 2025-05-29T11:32:44.114
Finished copy 209 at 2025-05-29T11:32:44.546
Finished copy 15 at 2025-05-29T11:32:44.665
Finished copy 109 at 2025-05-29T11:32:44.751
Finished copy 309 at 2025-05-29T11:32:46.179
Finished copy 516 at 2025-05-29T11:32:46.693
Finished copy 16 at 2025-05-29T11:32:46.797
Finished copy 409 at 2025-05-29T11:32:48.432
Finished copy 210 at 2025-05-29T11:32:48.585
Finished copy 517 at 2025-05-29T11:32:49.011
Finished copy 110 at 2025-05-29T11:32:49.103
Finished copy 17 at 2025-05-29T11:32:49.188
Finished copy 310 at 2025-05-29T11:32:50.359
Finished copy 518 at 2025-05-29T11:32:50.924
Finished copy 18 at 2025-05-29T11:32:51.460
Finished copy 410 at 2025-05-29T11:32:52.579
Finished copy 211 at 2025-05-29T11:32:52.613
Finished copy 519 at 2025-05-29T11:32:53.102
Finished copy 19 at 2025-05-29T11:32:53.853
Finished copy 111 at 2025-05-29T11:32:53.948
Finished copy 311 at 2025-05-29T11:32:54.240
Finished copy 520 at 2025-05-29T11:32:55.432
Finished copy 212 at 2025-05-29T11:32:56.038
Finished copy 20 at 2025-05-29T11:32:56.356
Finished copy 411 at 2025-05-29T11:32:57
Finished copy 521 at 2025-05-29T11:32:57.674
Finished copy 312 at 2025-05-29T11:32:58.305
Finished copy 112 at 2025-05-29T11:32:58.428
Finished copy 21 at 2025-05-29T11:32:58.664
Finished copy 522 at 2025-05-29T11:32:59.850
Finished copy 213 at 2025-05-29T11:32:59.937
Finished copy 22 at 2025-05-29T11:33:01.006
Finished copy 412 at 2025-05-29T11:33:01.841
Finished copy 523 at 2025-05-29T11:33:02.158
Finished copy 313 at 2025-05-29T11:33:02.221
Finished copy 113 at 2025-05-29T11:33:02.782
Finished copy 23 at 2025-05-29T11:33:03.331
Finished copy 214 at 2025-05-29T11:33:03.596
Finished copy 524 at 2025-05-29T11:33:04.188
Finished copy 24 at 2025-05-29T11:33:05.411
Finished copy 413 at 2025-05-29T11:33:05.704
Finished copy 525 at 2025-05-29T11:33:06.342
Finished copy 114 at 2025-05-29T11:33:06.769
Finished copy 314 at 2025-05-29T11:33:06.940
Finished copy 215 at 2025-05-29T11:33:07.406
Finished copy 25 at 2025-05-29T11:33:07.571
Finished copy 526 at 2025-05-29T11:33:08.509
Finished copy 414 at 2025-05-29T11:33:09.520
Finished copy 26 at 2025-05-29T11:33:09.867
Finished copy 527 at 2025-05-29T11:33:10.555
Finished copy 115 at 2025-05-29T11:33:10.960
Finished copy 216 at 2025-05-29T11:33:10.982
Finished copy 315 at 2025-05-29T11:33:11.084
Finished copy 415 at 2025-05-29T11:33:12.074
Finished copy 27 at 2025-05-29T11:33:12.104
Finished copy 528 at 2025-05-29T11:33:13.068
Finished copy 416 at 2025-05-29T11:33:14.494
Finished copy 28 at 2025-05-29T11:33:14.606
Finished copy 316 at 2025-05-29T11:33:15.188
Finished copy 529 at 2025-05-29T11:33:15.461
Finished copy 116 at 2025-05-29T11:33:15.644
Finished copy 217 at 2025-05-29T11:33:15.772
Finished copy 417 at 2025-05-29T11:33:16.973
Finished copy 29 at 2025-05-29T11:33:17.224
Finished copy 530 at 2025-05-29T11:33:18.182
Finished copy 317 at 2025-05-29T11:33:18.550
Finished copy 218 at 2025-05-29T11:33:19.413
Finished copy 30 at 2025-05-29T11:33:19.669
Finished copy 117 at 2025-05-29T11:33:19.785
Finished copy 418 at 2025-05-29T11:33:19.788
Finished copy 531 at 2025-05-29T11:33:20.821
Finished copy 31 at 2025-05-29T11:33:21.921
Finished copy 419 at 2025-05-29T11:33:22.245
Finished copy 318 at 2025-05-29T11:33:22.581
Finished copy 532 at 2025-05-29T11:33:23.148
Finished copy 32 at 2025-05-29T11:33:24.264
Finished copy 219 at 2025-05-29T11:33:24.436
Finished copy 420 at 2025-05-29T11:33:24.591
Finished copy 118 at 2025-05-29T11:33:24.693
Finished copy 533 at 2025-05-29T11:33:25.641
Finished copy 421 at 2025-05-29T11:33:26.760
Finished copy 33 at 2025-05-29T11:33:26.850
Finished copy 319 at 2025-05-29T11:33:27.496
Finished copy 534 at 2025-05-29T11:33:28.138
Finished copy 220 at 2025-05-29T11:33:28.819
Finished copy 34 at 2025-05-29T11:33:29.082
Finished copy 119 at 2025-05-29T11:33:29.297
Finished copy 422 at 2025-05-29T11:33:29.301
Finished copy 535 at 2025-05-29T11:33:30.296
Finished copy 35 at 2025-05-29T11:33:31.507
Finished copy 320 at 2025-05-29T11:33:31.684
Finished copy 423 at 2025-05-29T11:33:31.746
Finished copy 536 at 2025-05-29T11:33:32.670
Finished copy 221 at 2025-05-29T11:33:32.786
Finished copy 120 at 2025-05-29T11:33:33.854
Finished copy 36 at 2025-05-29T11:33:34.193
Finished copy 424 at 2025-05-29T11:33:34.326
Finished copy 537 at 2025-05-29T11:33:35.041
Finished copy 321 at 2025-05-29T11:33:36.145
Finished copy 37 at 2025-05-29T11:33:36.538
Finished copy 425 at 2025-05-29T11:33:36.611
Finished copy 538 at 2025-05-29T11:33:37.219
Finished copy 222 at 2025-05-29T11:33:37.249
Finished copy 121 at 2025-05-29T11:33:38.419
Finished copy 426 at 2025-05-29T11:33:38.752
Finished copy 38 at 2025-05-29T11:33:38.844
Finished copy 539 at 2025-05-29T11:33:39.597
Finished copy 322 at 2025-05-29T11:33:41.129
Finished copy 39 at 2025-05-29T11:33:41.157
Finished copy 427 at 2025-05-29T11:33:41.195
Finished copy 223 at 2025-05-29T11:33:42.045
Finished copy 540 at 2025-05-29T11:33:42.048
Finished copy 122 at 2025-05-29T11:33:42.659
Finished copy 428 at 2025-05-29T11:33:43.641
Finished copy 40 at 2025-05-29T11:33:43.677
Finished copy 541 at 2025-05-29T11:33:44.736
Finished copy 224 at 2025-05-29T11:33:45.810
Finished copy 323 at 2025-05-29T11:33:45.871
Finished copy 429 at 2025-05-29T11:33:45.990
Finished copy 123 at 2025-05-29T11:33:46.205
Finished copy 41 at 2025-05-29T11:33:46.214
Finished copy 542 at 2025-05-29T11:33:47.061
Finished copy 430 at 2025-05-29T11:33:48.273
Finished copy 42 at 2025-05-29T11:33:49.070
Finished copy 543 at 2025-05-29T11:33:49.521
Finished copy 324 at 2025-05-29T11:33:49.819
Finished copy 225 at 2025-05-29T11:33:50.126
Finished copy 431 at 2025-05-29T11:33:50.499
Finished copy 124 at 2025-05-29T11:33:50.632
Finished copy 43 at 2025-05-29T11:33:51.321
Finished copy 544 at 2025-05-29T11:33:52.172
Finished copy 432 at 2025-05-29T11:33:52.817
Finished copy 44 at 2025-05-29T11:33:53.660
Finished copy 325 at 2025-05-29T11:33:53.748
Finished copy 226 at 2025-05-29T11:33:54.395
Finished copy 545 at 2025-05-29T11:33:54.608
Finished copy 125 at 2025-05-29T11:33:55.024
Finished copy 433 at 2025-05-29T11:33:55.278
Finished copy 45 at 2025-05-29T11:33:55.758
Finished copy 546 at 2025-05-29T11:33:56.824
Finished copy 434 at 2025-05-29T11:33:57.546
Finished copy 326 at 2025-05-29T11:33:57.723
Finished copy 46 at 2025-05-29T11:33:57.899
Finished copy 227 at 2025-05-29T11:33:58.519
Finished copy 547 at 2025-05-29T11:33:59.021
Finished copy 126 at 2025-05-29T11:33:59.546
Finished copy 435 at 2025-05-29T11:34:00.006
Finished copy 47 at 2025-05-29T11:34:00.061
Finished copy 548 at 2025-05-29T11:34:01.492
Finished copy 327 at 2025-05-29T11:34:01.626
Finished copy 48 at 2025-05-29T11:34:02.466
Finished copy 436 at 2025-05-29T11:34:02.493
Finished copy 228 at 2025-05-29T11:34:02.889
Finished copy 127 at 2025-05-29T11:34:03.476
Finished copy 549 at 2025-05-29T11:34:03.896
Finished copy 49 at 2025-05-29T11:34:04.668
Finished copy 437 at 2025-05-29T11:34:04.738
Finished copy 328 at 2025-05-29T11:34:06.081
Finished copy 550 at 2025-05-29T11:34:06.232
Finished copy 50 at 2025-05-29T11:34:06.904
Finished copy 229 at 2025-05-29T11:34:06.991
Finished copy 438 at 2025-05-29T11:34:06.999
Finished copy 128 at 2025-05-29T11:34:07.365
Finished copy 551 at 2025-05-29T11:34:08.571
Finished copy 51 at 2025-05-29T11:34:09.175
Finished copy 439 at 2025-05-29T11:34:09.209
Finished copy 329 at 2025-05-29T11:34:09.793
Finished copy 552 at 2025-05-29T11:34:10.793
Finished copy 230 at 2025-05-29T11:34:11.168
Finished copy 440 at 2025-05-29T11:34:11.626
Finished copy 52 at 2025-05-29T11:34:11.703
Finished copy 129 at 2025-05-29T11:34:11.916
Finished copy 553 at 2025-05-29T11:34:13.257
Finished copy 53 at 2025-05-29T11:34:13.716
Finished copy 441 at 2025-05-29T11:34:13.980
Finished copy 330 at 2025-05-29T11:34:14.599
Finished copy 231 at 2025-05-29T11:34:15.068
Finished copy 554 at 2025-05-29T11:34:15.605
Finished copy 54 at 2025-05-29T11:34:15.937
Finished copy 130 at 2025-05-29T11:34:16.114
Finished copy 442 at 2025-05-29T11:34:16.431
Finished copy 555 at 2025-05-29T11:34:17.830
Finished copy 55 at 2025-05-29T11:34:18.616
Finished copy 443 at 2025-05-29T11:34:18.986
Finished copy 331 at 2025-05-29T11:34:19.050
Finished copy 232 at 2025-05-29T11:34:19.291
Finished copy 556 at 2025-05-29T11:34:20.011
Finished copy 56 at 2025-05-29T11:34:20.979
Finished copy 131 at 2025-05-29T11:34:21.114
Finished copy 444 at 2025-05-29T11:34:21.787
Finished copy 557 at 2025-05-29T11:34:22.530
Finished copy 57 at 2025-05-29T11:34:23.517
Finished copy 233 at 2025-05-29T11:34:23.603
Finished copy 332 at 2025-05-29T11:34:23.861
Finished copy 445 at 2025-05-29T11:34:24.072
Finished copy 558 at 2025-05-29T11:34:24.855
Finished copy 132 at 2025-05-29T11:34:25.531
Finished copy 58 at 2025-05-29T11:34:25.947
Finished copy 446 at 2025-05-29T11:34:26.502
Finished copy 559 at 2025-05-29T11:34:27.200
Finished copy 333 at 2025-05-29T11:34:27.523
Finished copy 234 at 2025-05-29T11:34:28.043
Finished copy 59 at 2025-05-29T11:34:28.567
Finished copy 447 at 2025-05-29T11:34:28.855
Finished copy 560 at 2025-05-29T11:34:29.498
Finished copy 133 at 2025-05-29T11:34:29.722
Finished copy 60 at 2025-05-29T11:34:30.643
Finished copy 448 at 2025-05-29T11:34:31.245
Finished copy 235 at 2025-05-29T11:34:31.742
Finished copy 334 at 2025-05-29T11:34:32.171
Finished copy 561 at 2025-05-29T11:34:32.193
Finished copy 61 at 2025-05-29T11:34:33.365
Finished copy 134 at 2025-05-29T11:34:33.509
Finished copy 449 at 2025-05-29T11:34:33.517
Finished copy 562 at 2025-05-29T11:34:34.641
Finished copy 450 at 2025-05-29T11:34:35.806
Finished copy 62 at 2025-05-29T11:34:35.834
Finished copy 236 at 2025-05-29T11:34:36.076
Finished copy 335 at 2025-05-29T11:34:36.654
Finished copy 563 at 2025-05-29T11:34:37.079
Finished copy 135 at 2025-05-29T11:34:37.874
Finished copy 63 at 2025-05-29T11:34:38.064
Finished copy 451 at 2025-05-29T11:34:38.178
Finished copy 564 at 2025-05-29T11:34:39.365
Finished copy 237 at 2025-05-29T11:34:40.400
Finished copy 64 at 2025-05-29T11:34:40.463
Finished copy 452 at 2025-05-29T11:34:40.585
Finished copy 336 at 2025-05-29T11:34:41.076
Finished copy 565 at 2025-05-29T11:34:41.925
Finished copy 136 at 2025-05-29T11:34:42.284
Finished copy 65 at 2025-05-29T11:34:42.766
Finished copy 453 at 2025-05-29T11:34:43.367
Finished copy 566 at 2025-05-29T11:34:44.318
Finished copy 238 at 2025-05-29T11:34:44.975
Finished copy 66 at 2025-05-29T11:34:45.020
Finished copy 337 at 2025-05-29T11:34:45.387
