Energy	SaddleIndex	Beta
-0.26038781163434904	82.0	0.10221246120552421
-0.19390581717451524	87.0	0.12384859967693014
-0.3268698060941828	77.0	0.10766893565254462
-0.3268698060941828	74.0	0.120791075954302
-0.20498614958448755	90.0	0.11613644653335897
-0.3047091412742382	77.0	0.11900326966512975
-0.23822714681440443	91.0	0.10121992298282269
-0.40443213296398894	79.0	0.12518152252731926
-0.3157894736842105	76.0	0.11979819072174512
-0.11634349030470914	94.0	0.1252386900839871
-0.4487534626038781	58.0	0.13325242854504832
-0.3157894736842105	80.0	0.14664884038296835
-0.12742382271468145	107.0	0.1403027858529362
-0.37119113573407203	78.0	0.14676767595004944
-0.22714681440443213	91.0	0.13301042603050148
-0.29362880886426596	71.0	0.1460326000072978
-0.39335180055401664	77.0	0.17618947285393322
-0.4155124653739612	67.0	0.14346850821938767
-0.4265927977839335	65.0	0.1753603493204531
-0.3268698060941828	68.0	0.17190870576647124
-0.40443213296398894	69.0	0.1667527020624738
-0.4930747922437673	70.0	0.1884319052327311
-0.37119113573407203	69.0	0.17202069016881197
-0.3601108033240997	68.0	0.16482328035136193
-0.5706371191135734	50.0	0.19998927863446128
-0.37119113573407203	72.0	0.20923397917131636
-0.5152354570637119	60.0	0.21606268846666096
-0.4930747922437673	50.0	0.23773759384565102
-0.3601108033240997	71.0	0.1908842308848099
-0.5152354570637119	67.0	0.2228775163387413
-0.5484764542936288	45.0	0.22211937630010098
-0.4598337950138504	72.0	0.20215707195323046
-0.4265927977839335	70.0	0.21047953484088536
-0.6149584487534626	55.0	0.23550791501029958
-0.6481994459833795	52.0	0.26755379682590874
-0.6703601108033241	55.0	0.25230159514017647
-0.6481994459833795	52.0	0.26888527291524705
-0.4930747922437673	61.0	0.26592221449885556
-0.7811634349030471	45.0	0.30036345896775163
-0.6371191135734072	51.0	0.27176973226586804
-0.6481994459833795	44.0	0.27977854732203983
-0.5595567867036011	49.0	0.2664188104434764
-1.0249307479224377	36.0	0.32191793526518736
-0.9030470914127424	48.0	0.35868057283245075
-1.03601108033241	31.0	0.3663322078979676
-0.9362880886426593	28.0	0.34354960213812996
-0.8808864265927978	31.0	0.37824285065273183
-1.1246537396121883	19.0	0.3434819855881897
-0.8919667590027701	46.0	0.3949622586182708
-1.0914127423822715	30.0	0.40611582100604343
-0.6703601108033241	42.0	0.364146166840184
-0.8587257617728532	34.0	0.3805643792826979
-1.1578947368421053	26.0	0.4251599987750636
-1.5346260387811634	20.0	0.46007960070423026
-1.4681440443213296	25.0	0.4522285364031185
-1.634349030470914	18.0	0.4921939816794458
-1.3573407202216066	23.0	0.4234591181264644
-1.7894736842105263	10.0	0.4943029758879494
-1.8227146814404431	7.0	0.527446669446952
-1.5900277008310248	22.0	0.4688556928686604
-1.8670360110803323	6.0	0.5330754007158186
-1.9335180055401662	3.0	0.5405935152590159
-1.8559556786703602	5.0	0.5461770444003018
-1.9335180055401662	3.0	0.6755882046248316
-1.6121883656509695	13.0	0.5493457187071721
-1.9002770083102494	3.0	0.6410985352234552
-1.9778393351800554	1.0	0.7737259075603767
-1.9113573407202216	4.0	0.6766732397292108
-1.9002770083102494	5.0	0.5299414978854082
-1.9556786703601108	2.0	0.7236396962427896
-1.9778393351800554	1.0	0.728909957119235
-1.9778393351800554	1.0	0.7498660962500996
-1.9556786703601108	2.0	0.8030549248010761
-1.9335180055401662	3.0	0.7138216542794001
-1.9778393351800554	1.0	0.784697681784702
-2.0	0.0	0.825104331892017
-1.9556786703601108	2.0	0.7999447088627147
-2.0	0.0	1.0644260493941569
-1.9778393351800554	1.0	0.8021423578566897
-1.9778393351800554	1.0	0.8531598515248419
-1.9778393351800554	1.0	0.8161713946403211
-1.9778393351800554	1.0	1.0113881068958381
-2.0	0.0	1.067729412160577
-1.9002770083102494	5.0	0.7195525699384407
-2.0	0.0	0.9115294515919936
-1.9778393351800554	1.0	0.8903051230898839
-2.0	0.0	0.9669152281693194
-2.0	0.0	1.382480179586729
-2.0	0.0	1.2592761689692524
-2.0	0.0	1.3748706976521852
-2.0	0.0	1.3878278508083013
-2.0	0.0	1.0798202017405858
-2.0	0.0	1.0918235179638396
-2.0	0.0	1.4285181367970416
-2.0	0.0	1.4181378547377106
-2.0	0.0	1.3897486575887816
-2.0	0.0	1.5872078814066988
-2.0	0.0	1.5456936900951967
-2.0	0.0	1.3743825779343422
-2.0	0.0	1.3981164198818572
-0.17174515235457063	96.0	0.10426175582607289
-0.28254847645429365	80.0	0.10552836079650103
-0.28254847645429365	81.0	0.11077129836110201
-0.21606648199445982	97.0	0.12074181476879936
-0.13850415512465375	97.0	0.1081325505992293
-0.4598337950138504	66.0	0.1192840741746918
-0.22714681440443213	81.0	0.11776854835059246
-0.3268698060941828	75.0	0.10672591917217736
-0.3157894736842105	75.0	0.1384637003309066
-0.24930747922437674	82.0	0.1243922958557121
-0.20498614958448755	91.0	0.1438363343395104
-0.28254847645429365	71.0	0.13419171942670136
-0.29362880886426596	80.0	0.13884995965569974
-0.28254847645429365	81.0	0.13402283558686076
-0.27146814404432135	74.0	0.1603723562227466
-0.23822714681440443	96.0	0.13690512680555225
-0.18282548476454294	89.0	0.1467771540099824
-0.37119113573407203	80.0	0.1531149589106746
-0.28254847645429365	83.0	0.16746543787531767
-0.4265927977839335	60.0	0.1511219904875594
-0.26038781163434904	84.0	0.1615193031882617
-0.3157894736842105	74.0	0.16015807105902374
-0.4930747922437673	60.0	0.18277029394618796
-0.4709141274238227	58.0	0.1934082807367716
-0.38227146814404434	70.0	0.19669769373965743
-0.38227146814404434	77.0	0.20285307664487082
-0.6814404432132964	51.0	0.2191522484055972
-0.3601108033240997	70.0	0.2042544562532935
-0.592797783933518	61.0	0.24879901651263217
-0.5152354570637119	55.0	0.22197465018096174
-0.4930747922437673	57.0	0.2491198282784527
-0.39335180055401664	61.0	0.2510709683120037
-0.5373961218836565	64.0	0.26892734382833244
-0.5484764542936288	63.0	0.2352672958088864
-0.5484764542936288	52.0	0.23300259306721469
-0.703601108033241	44.0	0.3186374482326353
-0.7479224376731302	45.0	0.3029625043683986
-0.6149584487534626	37.0	0.28220869145069205
-0.4598337950138504	55.0	0.250214797915272
-0.6925207756232687	35.0	0.29827284566723805
-0.6260387811634349	56.0	0.27854876489932684
-0.814404432132964	50.0	0.28266998726031073
-1.080332409972299	33.0	0.3399814682595548
-0.7590027700831025	43.0	0.34289187363854384
-0.6925207756232687	55.0	0.31984845554752744
-0.9695290858725761	29.0	0.3626718921493324
-0.9806094182825484	35.0	0.40732764870105787
-1.002770083102493	30.0	0.3706473151757427
-0.8587257617728532	31.0	0.3654226154826285
-1.2686980609418284	21.0	0.4148301755731118
-0.9473684210526315	34.0	0.3866759837403648
-0.925207756232687	40.0	0.37423810770005067
-1.0249307479224377	34.0	0.39789062301795386
-1.03601108033241	28.0	0.39130851166235026
-1.8337950138504155	8.0	0.5261973648249147
-1.0692520775623269	30.0	0.42239663743377104
-1.5678670360110802	15.0	0.44962996162666446
-1.1246537396121883	30.0	0.4103635535801194
-1.7673130193905817	11.0	0.5049155941256834
-1.8781163434903048	6.0	0.5826141241480233
-1.8337950138504155	8.0	0.5366422888536388
-1.9778393351800554	1.0	0.5852521793561408
-1.9002770083102494	5.0	0.5908144489296693
-1.8337950138504155	8.0	0.5539557017018303
-1.745152354570637	10.0	0.5357436694811425
-1.745152354570637	10.0	0.5136112894612077
-1.9335180055401662	3.0	0.6622733958449611
-1.9445983379501386	3.0	0.740386943385672
-1.7229916897506925	12.0	0.5376232449569504
-1.9335180055401662	3.0	0.6200078059519257
-1.9667590027700832	2.0	0.6570530935428007
-1.9556786703601108	2.0	0.687476470092183
-1.9778393351800554	1.0	0.6248743477871198
-1.9335180055401662	3.0	0.7292052420572984
-2.0	0.0	0.7305937894234988
-1.9778393351800554	1.0	0.7502498875620947
-1.9556786703601108	2.0	0.7441573887296827
-2.0	0.0	0.7832685036987651
-1.9778393351800554	1.0	0.8087837336319683
-2.0	0.0	0.9118378276142824
-2.0	0.0	0.925254039012966
-1.9778393351800554	1.0	0.8255496183292073
-1.9778393351800554	1.0	1.0123626674437907
-2.0	0.0	0.7743953764101231
-2.0	0.0	1.109001711450525
-2.0	0.0	1.0646697091902133
