beta,tau_unc,alpha_unc
0.25,1.0,1.0
0.25757124579110297,1.0,0.9553356232580569
0.2653717866335231,1.0,0.5814928806443562
0.2734085667240293,1.0,0.5969804758129025
0.28168874056427257,1.0,0.5369341766889365
0.2902196793298659,1.0,0.6256869783722687
0.29900897743235194,1.0,0.6205852635413636
0.3080644592798988,1.104359507729035,0.5971788660675834
0.3173941862427442,1.4079823895251034,0.6006886111412438
0.3270064638295879,1.736985120841885,0.5819915285318472
0.3369098490813209,2.2847327815055376,0.5876468141175087
0.3471131581886732,2.9745406501108165,0.5529763699787349
0.357625474340563,4.2908029059379444,0.5604210812419145
0.36845615581013186,6.009165328234614,0.5466762430162416
0.3796148442856656,9.018011077573613,0.5299891409163361
0.39111147345381786,13.495097744861207,0.5047784433958329
0.40295627784277505,25.63658999773728,0.4540943398028467
0.4151598019332376,46.848439660481795,0.41470060837584466
0.42773290954532633,157.44876903934616,0.33940215357485015
0.44068679350977147,696.4521956475363,0.24096607269799253
